id,name,value_id,value_name,value_struct,values,value_type,site_id,title,seller_id,category_id,official_store_id,price,base_price,original_price,currency_id,initial_quantity,catalog_product_id
MLA1903134622,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv A1427 3.ª Generación Full Hd 8gb,62674746,MLA352001,,73999.0,73999.0,,ARS,1,MLA6253545
MLA2010200866,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv Hd 4ta 4th Generación 2015 A1625 Restore Problem,72129527,MLA352001,,59000.0,59000.0,,ARS,1,MLA6253543
MLA1913452572,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv 3a Gen  Full Hd 8gb 512mb Ram A1427,42544866,MLA352001,,45000.0,45000.0,,ARS,1,MLA6253545
MLA1445793563,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv Hd A1625 De Voz 4.ª Generación 2015 Full Hd 64 Gb,89647872,MLA352001,,145000.0,145000.0,,ARS,1,MLA6253543
MLA1443682603,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv 2ª Generaciónhd 8gb Negro Con 256mb De Memoria Ram,120708889,MLA352001,,60000.0,60000.0,,ARS,2,MLA6253547
MLA1670324528,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,"Usado Apple Tv 3 A1469 Full Hd Negro Completo, Sin Detalles.",1530068588,MLA352001,,99000.0,99000.0,,ARS,1,MLA6253545
MLA1463957805,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv 4.a Generación 2015 Full Hd 32gb 2gb Ram,75988422,MLA352001,,250000.0,250000.0,,ARS,1,MLA6253543
MLA1436930383,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv A1427 Estándar 3.ªgeneracion,35640592,MLA352001,,80500.0,80500.0,,ARS,1,MLA6253545
MLA1475666907,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv  Full Hd 32gb,83925369,MLA352001,,250000.0,250000.0,,ARS,1,MLA6253543
MLA1464550035,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv A1427 Estándar 3.a Generación,207573097,MLA352001,,25000.0,25000.0,,ARS,1,MLA6253545
MLA1972159008,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv A1427 ( Control No Funciona),33446855,MLA352001,,20000.0,20000.0,,ARS,1,MLA6253545
MLA1938835060,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv A1469. Full Hd 8gb/ 512mb Ram Sin Control Remoto,38345984,MLA352001,,65000.0,65000.0,,ARS,2,MLA6253545
MLA1414122791,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA, Apple Tv A1427 Negro - 1080p Full Hd,211738,MLA352001,,120000.0,120000.0,,ARS,1,MLA6253545
MLA1822817324,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv A1427  3.ª Generación Full Hd 8gb Negro,154069155,MLA352001,,39000.0,39000.0,,ARS,3,MLA6253545
MLA1317267791,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv 3era Generación. Full Hd. Con Control Remoto,84465736,MLA352001,,80000.0,80000.0,,ARS,1,MLA6253545
MLA1464945897,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA,Apple Tv 3.a Generación 512mb,638036776,MLA352001,,99000.0,99000.0,,ARS,1,MLA6253545
MLA1755792356,Tipo de garantía,6150835,Sin garantía,,"[{'id': '6150835', 'name': 'Sin garantía', 'struct': None}]",list,MLA, Apple Tv A1469 3.ª Generación. Perf. Estado Caja Cable Orig,12274147,MLA352001,,90000.0,90000.0,,ARS,1,MLA6253545
